country,iso2c,iso3c.x,year,rd_expenditure_pct,region_category,oil_rents_pct,iso3c.y,patents_resident
Algeria,DZ,DZA,2017,0.47865,3. Emerging Economies,12.1565741270026,DZA,149
Algeria,DZ,DZA,2005,0.06367,3. Emerging Economies,27.9141141505655,DZA,59
Algeria,DZ,DZA,2004,0.15186,3. Emerging Economies,22.1269733272223,DZA,58
Algeria,DZ,DZA,2003,0.18122,3. Emerging Economies,19.6786326659537,DZA,30
Algeria,DZ,DZA,2002,0.33807,3. Emerging Economies,17.703706765696,DZA,43
Algeria,DZ,DZA,2001,0.21219,3. Emerging Economies,16.7197713612172,DZA,51
Australia,AU,AUS,2021,1.85509,1. The West (OECD),0.264201375268924,AUS,2966
Australia,AU,AUS,2019,1.8257,1. The West (OECD),0.229199447926395,AUS,2637
Australia,AU,AUS,2017,1.87919,1. The West (OECD),0.198665473505862,AUS,2503
Australia,AU,AUS,2015,1.91902,1. The West (OECD),0.197899254363141,AUS,2291
Australia,AU,AUS,2013,2.17709,1. The West (OECD),0.538515503941203,AUS,3061
Australia,AU,AUS,2011,2.23445,1. The West (OECD),0.877828805391789,AUS,2383
Australia,AU,AUS,2010,2.37009,1. The West (OECD),0.706854443143111,AUS,2409
Australia,AU,AUS,2008,2.39898,1. The West (OECD),0.935960985495543,AUS,2821
Australia,AU,AUS,2006,2.17862,1. The West (OECD),0.865992075121712,AUS,2837
Australia,AU,AUS,2004,1.84802,1. The West (OECD),0.73789012235773,AUS,2559
Australia,AU,AUS,2002,1.74654,1. The West (OECD),0.803940893602656,AUS,2364
Australia,AU,AUS,2000,1.57198,1. The West (OECD),0.876745345389259,AUS,1928
Bahrain,BH,BHR,2014,0.10116,2. Rentier States (Gulf),18.8709266924557,BHR,6
Canada,CA,CAN,2021,1.86431,1. The West (OECD),2.82978528865474,CAN,4710
Canada,CA,CAN,2020,1.93414,1. The West (OECD),0.8889084820818,CAN,4452
Canada,CA,CAN,2019,1.75578,1. The West (OECD),1.6199500962193,CAN,4238
Canada,CA,CAN,2018,1.7372,1. The West (OECD),1.50562872928079,CAN,4349
Canada,CA,CAN,2017,1.68702,1. The West (OECD),0.816766635206739,CAN,4053
Canada,CA,CAN,2016,1.72903,1. The West (OECD),0.471724709301756,CAN,4078
Canada,CA,CAN,2015,1.69359,1. The West (OECD),0.0345891578218769,CAN,4277
Canada,CA,CAN,2014,1.71483,1. The West (OECD),1.16512699520053,CAN,4198
Canada,CA,CAN,2013,1.70624,1. The West (OECD),1.25009355545576,CAN,4567
Canada,CA,CAN,2012,1.77304,1. The West (OECD),0.873035162318975,CAN,4709
Canada,CA,CAN,2011,1.78714,1. The West (OECD),1.65206257737853,CAN,4754
Canada,CA,CAN,2010,1.82504,1. The West (OECD),1.36035981724265,CAN,4550
Canada,CA,CAN,2009,1.91742,1. The West (OECD),1.33142171181656,CAN,5067
Canada,CA,CAN,2008,1.85578,1. The West (OECD),2.54002352343034,CAN,5061
Canada,CA,CAN,2007,1.90358,1. The West (OECD),1.79572860434846,CAN,4998
Canada,CA,CAN,2006,1.94304,1. The West (OECD),1.79784487204702,CAN,5522
Canada,CA,CAN,2005,1.97127,1. The West (OECD),1.78498681477884,CAN,5183
Canada,CA,CAN,2004,1.99734,1. The West (OECD),1.49755944499054,CAN,5231
Canada,CA,CAN,2003,1.96781,1. The West (OECD),1.12578576172741,CAN,3929
Canada,CA,CAN,2002,1.97171,1. The West (OECD),0.955943439201293,CAN,3959
Canada,CA,CAN,2001,2.02117,1. The West (OECD),0.858857509112782,CAN,3963
Canada,CA,CAN,2000,1.85848,1. The West (OECD),1.47117947256471,CAN,4187
"Egypt, Arab Rep.",EG,EGY,2021,0.91175,3. Emerging Economies,2.98581458250197,EGY,881
"Egypt, Arab Rep.",EG,EGY,2020,0.91564,3. Emerging Economies,1.85770095140202,EGY,978
"Egypt, Arab Rep.",EG,EGY,2019,0.79617,3. Emerging Economies,3.8819618632175,EGY,1027
"Egypt, Arab Rep.",EG,EGY,2018,0.68839,3. Emerging Economies,5.47658822874947,EGY,997
"Egypt, Arab Rep.",EG,EGY,2017,0.64486,3. Emerging Economies,4.12683269397819,EGY,1025
"Egypt, Arab Rep.",EG,EGY,2016,0.70848,3. Emerging Economies,2.35006516963224,EGY,920
"Egypt, Arab Rep.",EG,EGY,2015,0.71858,3. Emerging Economies,3.05526433674059,EGY,718
"Egypt, Arab Rep.",EG,EGY,2014,0.63649,3. Emerging Economies,6.82340013626772,EGY,752
"Egypt, Arab Rep.",EG,EGY,2013,0.63895,3. Emerging Economies,7.82863019779494,EGY,641
"Egypt, Arab Rep.",EG,EGY,2012,0.50899,3. Emerging Economies,8.38345897037217,EGY,683
"Egypt, Arab Rep.",EG,EGY,2011,0.53154,3. Emerging Economies,9.74186285549743,EGY,618
"Egypt, Arab Rep.",EG,EGY,2010,0.43345,3. Emerging Economies,7.41778712942652,EGY,605
"Egypt, Arab Rep.",EG,EGY,2009,0.43312,3. Emerging Economies,6.24755741424533,EGY,490
"Egypt, Arab Rep.",EG,EGY,2008,0.27024,3. Emerging Economies,12.4545677729971,EGY,481
"Egypt, Arab Rep.",EG,EGY,2007,0.2551,3. Emerging Economies,10.7818588338143,EGY,516
"Egypt, Arab Rep.",EG,EGY,2006,0.25903,3. Emerging Economies,11.7296934107586,NA,NA
"Egypt, Arab Rep.",EG,EGY,2005,0.24141,3. Emerging Economies,11.8509312061057,EGY,428
"Egypt, Arab Rep.",EG,EGY,2004,0.26994,3. Emerging Economies,9.49448631419397,EGY,382
"Egypt, Arab Rep.",EG,EGY,2000,0.19247,3. Emerging Economies,6.47222160611776,EGY,534
France,FR,FRA,2021,2.21808,1. The West (OECD),0.0071021867060762,FRA,13386
France,FR,FRA,2020,2.27464,1. The West (OECD),0.00329710789889294,FRA,12771
France,FR,FRA,2019,2.19179,1. The West (OECD),0.00678260032752886,FRA,14103
France,FR,FRA,2018,2.19666,1. The West (OECD),0.00839113039243978,FRA,14303
France,FR,FRA,2017,2.19888,1. The West (OECD),0.00518662364090017,FRA,14415
France,FR,FRA,2016,2.22238,1. The West (OECD),0.00385165418531265,FRA,14206
France,FR,FRA,2015,2.22702,1. The West (OECD),0.00512462065631857,FRA,14306
France,FR,FRA,2014,2.27592,1. The West (OECD),0.0094716180532004,FRA,14500
France,FR,FRA,2013,2.23703,1. The West (OECD),0.0109314252317,FRA,14690
France,FR,FRA,2012,2.22707,1. The West (OECD),0.0126937537821637,FRA,14540
France,FR,FRA,2011,2.19161,1. The West (OECD),0.0108192692036986,FRA,14655
